what,kind,bundleId,bundleVersion,description,time
java.runtime.version,sysinfo,,,"1.6.0_15-b03",1291349226193
java.specification.name,sysinfo,,,"Java Platform API Specification",1291349226193
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1291349226193
java.specification.version,sysinfo,,,"1.6",1291349226193
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1291349226193
java.version,sysinfo,,,"1.6.0_15",1291349226193
java.vm.info,sysinfo,,,"mixed mode",1291349226193
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1291349226193
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1291349226193
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1291349226193
java.vm.specification.version,sysinfo,,,"1.0",1291349226193
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1291349226193
java.vm.version,sysinfo,,,"14.1-b02",1291349226193
started,bundle,org.eclipse.epp.usagedata.ui,1.3.0.R201005261100,"org.eclipse.epp.usagedata.ui",1291349227600
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1291349227944
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291349231624
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291349238678
started,bundle,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui",1291349245934
started,bundle,org.eclipse.jdt.junit.core,3.6.0.v20100526-0800,"org.eclipse.jdt.junit.core",1291349246031
executed,command,org.eclipse.team.cvs.ui,3.3.300.I20100526-0800,"org.eclipse.team.cvs.ui.update",1291349250090
started,bundle,org.eclipse.equinox.security.ui,1.0.200.v20100503,"org.eclipse.equinox.security.ui",1291349250207
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291349250560
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291349277079
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291349280290
started,bundle,org.eclipse.wst.sse.core,1.1.500.v201006020308,"org.eclipse.wst.sse.core",1291349336854
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291349336905
activated,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.ProblemView",1291349456091
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291349534321
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291349545691
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.project.cleanAction",1291349545714
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291349546811
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291349555058
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1291349611266
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291349616477
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291349650111
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.properties",1291349650226
activated,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.ProblemView",1291349737350
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1291349802673
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291349809119
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1291349818372
closed,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1291349818464
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291349818540
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1291349818560
